"HIP","HD","RAhms","DEdms","RA(ICRS)","DE(ICRS)","pmRA","pmDE","Glon","Glat","d(pc)","ePARX/PARX","V","e_V","V_src","B-V","e_B-V","B-V_src","Mv","e_Mv","CombMag","V-K","e_V-K","K_src","Lbol_src","Lbol","e_Lbol","SpType","CLASS","SPECTAG","EEID(AU)","EEID(mas)","FPB-Earth","V-Earth(mag)","Teff","Teff_src","R*(Rsun)","R_src","M*(Msun)","M_src"
117226,"___","23 46 07.54","+60 27 55.4",356.53143116,60.46537633,13.72,-2.24,114.9636,-1.392,18.16,0.83,9.75,0.01,"G",2.11,0.01,"G",8.45,3.87,"___",8.01,0.1,"TMSS","V-K",3.45,3.87,"M3             ","___","___",1.86,102.3,3.35E-11,35.94,2685,"V-K",8.58,"Turnbull",1.37,"Turnbull"
32277,"___","06 44 19.42","+40 37 22.9",101.08091758,40.62302955,193.09,37.94,175.0504,16.0166,25.81,0.66,9.53,0.1,"VT",1.27,0.1,"BVT-Red",7.47,2.44,"___",7.71,0.14,"TMSS","V-K",6.49,2.44,"K           ","___","___",2.55,98.74,1.78E-11,36.41,2742,"V-K",11.28,"Turnbull",1.62,"Turnbull"
34603,,"07 10 02.16","+38 31 54.4",107.50900471,38.53176545,-439.68,-948.36,178.9523,19.9067,6.12,0.01,11.67,0.4,"VT",1.09,0.4,"BVT-G-Red",12.74,0.42,"___",5.83,0.4,"2MASS","V-K",0.01,0.58,"M4.5V","MAINSEQ","M",0.11,18,9.52E-09,31.73,3049,"V-K",0.39,"Turnbull",0.32,"Turnbull"
5643,,"01 12 29.90","-17 00 01.9",18.12459256,-17.00053959,1210.09,646.95,149.6949,-78.7623,3.72,0,12.07,0.01,"Koen",1.81,0.01,"Koen",14.22,0.02,"___",5.68,0.02,"2MASS","V-K",0,0.09,"M4.0V","MAINSEQ","M",0.05,13.86,4.35E-08,30.48,3082,"V-K",0.18,"Turnbull",0.22,"Turnbull"
30920,"___","06 29 23.00","-02 48 44.9",97.345813,-2.81247539,694.73,-618.62,212.9267,-6.1876,4.09,0,11.07,0.01,"Koen",1.69,0.01,"Koen",13.01,0.02,"___",5.63,0.02,"2MASS","V-K",0.01,0.09,"M4.5V","MAINSEQ","M",0.09,21.33,1.52E-08,30.62,3093,"V-K",0.3,"Turnbull",0.29,"Turnbull"
106255,"___","21 31 17.92","-09 47 25.9",322.82467099,-9.79053173,1161.8,-54.19,43.2339,-39.8569,8.3,0.05,12.01,0.01,"Koen",1.66,0.01,"Koen",12.42,0.12,"___",5.58,0.04,"2MASS","V-K",0.01,0.15,"M4e...      ","___","___",0.12,14.14,8.39E-09,32.2,3106,"V-K",0.4,"Turnbull",0.33,"Turnbull"
37766,"___","07 44 40.38","+03 33 12.8",116.16823269,3.55354943,-344.87,-450.84,215.8554,13.4586,5.98,0.01,11.23,0.01,"Koen",1.61,0.01,"Koen",12.34,0.03,"___",5.49,0.02,"2MASS","V-K",0.01,0.09,"M4.0V","MAINSEQ","M",0.12,19.36,8.62E-09,31.39,3129,"V-K",0.39,"Turnbull",0.33,"Turnbull"
57548,"___","11 47 44.04","+00 48 27.1",176.93351286,0.80752617,605.62,-1219.23,270.1417,59.561,3.35,0,11.1,0.01,"Koen",1.74,0.01,"Koen",13.47,0.02,"___",5.47,0.03,"2MASS","V-K",0,0.09,"M4.0V","MAINSEQ","M",0.07,19.75,2.63E-08,30.04,3135,"V-K",0.22,"Turnbull",0.25,"Turnbull"
71253,"___","14 34 17.02","-12 31 15.6",218.57093205,-12.52100145,-357.5,595.12,338.4201,43.1526,6.22,0.01,11.32,0.01,"Koen",1.6,0.01,"Koen",12.35,0.03,"___",5.38,0.05,"2MASS","V-K",0.01,0.09,"M4.0V","MAINSEQ","M",0.11,17.32,9.96E-09,31.32,3158,"V-K",0.36,"Turnbull",0.32,"Turnbull"
110526,"___","22 23 28.92","+32 27 35.8",335.87051591,32.45993621,251.26,-207.57,90.0404,-20.7987,15.51,0.1,11.42,0.3,"VT",1.57,0.02,"G",10.47,0.53,"*",5.37,0.3,"2MASS","V-K",0.06,0.61,"M0...       ","___","___",0.25,16.42,1.78E-09,33.29,3162,"V-K",0.85,"Turnbull",0.5,"Turnbull"
