1 2 3 4 5 6 7
version_number compiler build MESA_SDK_version date burn_min1 burn_min2
11701 "gfortran" "8.3.0" "x86_64-linux-20190503" "20210719" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 9.9999999999999589E-001 2.5045371406668329E+000 1.4940855206510086E+000 3.6407209430675169E+000 5.4766641934258677E+000 -3.3515336505852673E+000 1.0227156947274302E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454924E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2012559220674355E+000 8.2000567574004779E-001 2.4508633798449694E+001 0.0000000000000000E+000 1.7444633613876267E+006 2.3548154559656755E+003 3.1294128341555253E+007 -2.1025307573253052E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025307573253052E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423175611682812E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.0123435571208425E-010
2 2.2000000000000003E-005 9.9999999999999101E-001 2.5013775052722202E+000 1.4940530662506082E+000 3.6399472614190640E+000 5.4766641816811710E+000 -3.3515335579946215E+000 1.0227157027481725E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454924E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2012556686460520E+000 8.2000567574004779E-001 2.4508633405936063E+001 0.0000000000000000E+000 1.7442678292944001E+006 2.3721872506810491E+003 3.1522633650024388E+007 -2.1025308546040261E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025308546040261E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423176584470010E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.9873343367383207E-010
3 3.6400000000000004E-005 9.9999999999998546E-001 2.4976723101544041E+000 1.4940144173514900E+000 3.6390402870891694E+000 5.4766644679792815E+000 -3.3515330022336332E+000 1.0227157871082232E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454924E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2012553768841414E+000 8.2000567574004801E-001 2.4508632973182834E+001 0.0000000000000000E+000 1.7440350050189055E+006 2.3927251333745371E+003 3.1792720339252967E+007 -2.1025304133821560E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025304133821560E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423172172251199E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.9581346377940079E-010
4 5.3680000000000001E-005 9.9999999999997857E-001 2.4933325922567731E+000 1.4939688743694195E+000 3.6379781291057967E+000 5.4766646253554390E+000 -3.3515326312459695E+000 1.0227158399966839E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454921E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2012550658816519E+000 8.2000567574004779E-001 2.4508632502453526E+001 0.0000000000000000E+000 1.7437606900844048E+006 2.4170079136603099E+003 3.2112003889262185E+007 -2.1025302381099323E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025302381099323E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423170419528894E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.9241601106984292E-010
5 7.4416000000000000E-005 9.9999999999997025E-001 2.4884345945450432E+000 1.4939169458590973E+000 3.6367795939330256E+000 5.4767111632156746E+000 -3.3514619356067623E+000 1.0227275981949083E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454924E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2012528190600911E+000 8.2000567574004779E-001 2.4508632000541166E+001 0.0000000000000000E+000 1.7434479664180255E+006 2.4447136566227277E+003 3.2476214819248267E+007 -2.1025324991480755E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025324991480755E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423193029912177E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.8847355323857986E-010
6 9.9299199999999986E-005 9.9999999999996070E-001 2.4828549417480636E+000 1.4938553035547675E+000 3.6354155018859453E+000 5.4767111806289801E+000 -3.3514617595921670E+000 1.0227276174761725E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454924E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2012524742336659E+000 8.2000567574004801E-001 2.4508631468586131E+001 0.0000000000000000E+000 1.7430768171807523E+006 2.4766765588809735E+003 3.2896148861571036E+007 -2.1025327115708027E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025327115708027E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423195154139428E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.8407101374910726E-010
7 1.2915903999999998E-004 9.9999999999994948E-001 2.4764176809949499E+000 1.4937832775826803E+000 3.6338421996837105E+000 5.4767112052162075E+000 -3.3514615673264712E+000 1.0227276391026416E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454924E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2012521167487904E+000 8.2000567574004801E-001 2.4508630917520691E+001 0.0000000000000000E+000 1.7426432478195236E+006 2.5140770317228757E+003 3.3387378378046025E+007 -2.1025329551107518E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025329551107518E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423197589538891E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.7911436156589186E-010
8 1.6499084799999998E-004 9.9999999999993605E-001 2.4690873487277294E+000 1.4936999088742171E+000 3.6320513009711375E+000 5.4767112394088020E+000 -3.3514613579334380E+000 1.0227276634083093E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454924E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2012517529678917E+000 8.2000567574004779E-001 2.4508630357335413E+001 0.0000000000000000E+000 1.7421415340919164E+006 2.5573624339961170E+003 3.3955697134874463E+007 -2.1025332337911994E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025332337911994E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423200376343335E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.7347449603877467E-010
9 2.0798901759999997E-004 9.9999999999992029E-001 2.4608679678685577E+000 1.4936042603234545E+000 3.6300442800317256E+000 5.4767112856632059E+000 -3.3514611308140112E+000 1.0227276907021265E+001 6.4000000000000001E-001 3.4054440287015562E-005 3.1996594555971297E-001 8.2387804258972890E-003 2.4134062660552094E-003 2.2407752833333058E-002 5.0258475929689872E-003 1.9142128817454924E-003 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.2012513899770347E+000 8.2000567574004801E-001 2.4508629799141399E+001 0.0000000000000000E+000 1.7415660980735985E+006 2.6067975898558198E+003 3.4604456464972697E+007 -2.1025335516289783E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1025335516289783E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2423203554721088E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.6715314182439073E-010
